,total_bill,tip,sex,smoker,day,time,size,tip_ratio,sum,percent,bpp,tpp,ratio_smoke,ratio_nonsmoker
219,30.14,3.09,Female,Yes,Sat,Dinner,4,0.10252156602521566,33.230000000000004,9.3,7.535,0.7725,0.10252156602521566,
220,12.16,2.2,Male,Yes,Fri,Lunch,2,0.18092105263157895,14.36,15.32,6.08,1.1,0.18092105263157895,
221,13.42,3.48,Female,Yes,Fri,Lunch,2,0.2593144560357675,16.9,20.59,6.71,1.74,0.2593144560357675,
222,8.58,1.92,Male,Yes,Fri,Lunch,1,0.22377622377622378,10.5,18.29,8.58,1.92,0.22377622377622378,
223,15.98,3.0,Female,No,Fri,Lunch,3,0.18773466833541927,18.98,15.81,5.326666666666667,1.0,,0.18773466833541927
224,13.42,1.58,Male,Yes,Fri,Lunch,2,0.11773472429210134,15.0,10.53,6.71,0.79,0.11773472429210134,
225,16.27,2.5,Female,Yes,Fri,Lunch,2,0.15365703749231716,18.77,13.32,8.135,1.25,0.15365703749231716,
226,10.09,2.0,Female,Yes,Fri,Lunch,2,0.19821605550049554,12.09,16.54,5.045,1.0,0.19821605550049554,
227,20.45,3.0,Male,No,Sat,Dinner,4,0.1466992665036675,23.45,12.79,5.1125,0.75,,0.1466992665036675
228,13.28,2.72,Male,No,Sat,Dinner,2,0.20481927710843376,16.0,17.0,6.64,1.36,,0.20481927710843376
229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.13019891500904157,25.0,11.52,11.06,1.44,0.13019891500904157,
230,24.01,2.0,Male,Yes,Sat,Dinner,4,0.08329862557267805,26.01,7.69,6.0025,0.5,0.08329862557267805,
231,15.69,3.0,Male,Yes,Sat,Dinner,3,0.19120458891013384,18.689999999999998,16.05,5.2299999999999995,1.0,0.19120458891013384,
232,11.61,3.39,Male,No,Sat,Dinner,2,0.29198966408268734,15.0,22.6,5.805,1.695,,0.29198966408268734
233,10.77,1.47,Male,No,Sat,Dinner,2,0.13649025069637882,12.24,12.01,5.385,0.735,,0.13649025069637882
234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.19317450096587252,18.53,16.19,7.765,1.5,0.19317450096587252,
235,10.07,1.25,Male,No,Sat,Dinner,2,0.12413108242303872,11.32,11.04,5.035,0.625,,0.12413108242303872
236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.07936507936507936,13.6,7.35,6.3,0.5,0.07936507936507936,
237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.03563813585135547,34.0,3.44,16.415,0.585,0.03563813585135547,
238,35.83,4.67,Female,No,Sat,Dinner,3,0.13033770583310075,40.5,11.53,11.943333333333333,1.5566666666666666,,0.13033770583310075
239,29.03,5.92,Male,No,Sat,Dinner,3,0.2039269720978298,34.95,16.94,9.676666666666668,1.9733333333333334,,0.2039269720978298
240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.07358351729212656,29.18,6.85,13.59,1.0,0.07358351729212656,
241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.08822232024702249,24.67,8.11,11.335,1.0,0.08822232024702249,
242,17.82,1.75,Male,No,Sat,Dinner,2,0.09820426487093153,19.57,8.94,8.91,0.875,,0.09820426487093153
243,18.78,3.0,Female,No,Thur,Dinner,2,0.1597444089456869,21.78,13.77,9.39,1.5,,0.1597444089456869
